message,truth,predicted,latency_ms
I want to watch a video on Operating Systems,VIDEO_SEARCH,VIDEO_SEARCH,2431
Where do I stand in Human Anatomy?,INSIGHT,INSIGHT,4268
What does the report say about Discrete Math?,CONTENT_ANALYSIS,INSIGHT,4880
Are there gaps in my Cell Biology knowledge?,INSIGHT,INSIGHT,4464
What's my level in Computer Networks?,INSIGHT,INSIGHT,4702
Does the text mention Cell Biology?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2867
Am I good at Fluid Dynamics?,INSIGHT,INSIGHT,4744
How long have you been here?,CONVERSATION,CONVERSATION,3677
Hello there,CONVERSATION,CONVERSATION,952
Video examples for Calculus,VIDEO_SEARCH,VIDEO_SEARCH,2454
Does the notes mention Quantum Physics?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2922
What's a good movie?,CONVERSATION,CONVERSATION,3179
Test my knowledge of Database Systems,ASSESSMENT,VIDEO_SEARCH,2654
Create an assessment for Astrophysics,ASSESSMENT,ASSESSMENT,5807
Goodbye,CONVERSATION,CONVERSATION,2638
Generate a quiz about Organic Chemistry,ASSESSMENT,ASSESSMENT,6268
Give me 10 questions on Data Structures,ASSESSMENT,VIDEO_SEARCH,2865
Are there gaps in my Macroeconomics knowledge?,INSIGHT,INSIGHT,5133
Is there a clip on Linear Algebra?,VIDEO_SEARCH,VIDEO_SEARCH,2342
Test my knowledge on Astrophysics,ASSESSMENT,ASSESSMENT,8621
What have I accomplished?,INSIGHT,INSIGHT,4686
I need a visual guide on Ethics,VIDEO_SEARCH,VIDEO_SEARCH,2645
What's my level in Cognitive Science?,INSIGHT,INSIGHT,4186
Can you explain this text?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3145
I guess so,CONVERSATION,CONVERSATION,3621
Do you like music?,CONVERSATION,CONVERSATION,2047
Look for educational videos about Machine Learning,VIDEO_SEARCH,VIDEO_SEARCH,2250
Where do I stand in Game Theory?,INSIGHT,INSIGHT,4791
Search for tutorials about Compiler Design,VIDEO_SEARCH,VIDEO_SEARCH,2453
Can I have a practice test for Ethics?,ASSESSMENT,ASSESSMENT,7808
Look for educational videos about Fluid Dynamics,VIDEO_SEARCH,VIDEO_SEARCH,2306
Ask me 5 questions on Quantum Physics,ASSESSMENT,INSIGHT,5292
What does the file say about Psychology?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3109
Ask me some questions on Linear Algebra,ASSESSMENT,ASSESSMENT,6088
Assess my understanding of Artificial Intelligence,ASSESSMENT,ASSESSMENT,5068
Give me a summary of the paper,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3688
See you later,CONVERSATION,CONVERSATION,2987
Is there a clip on Sociology?,VIDEO_SEARCH,VIDEO_SEARCH,2534
Any clips explaining Data Structures?,VIDEO_SEARCH,VIDEO_SEARCH,2257
What's my level in Discrete Math?,INSIGHT,INSIGHT,4549
I'm going now,CONVERSATION,CONVERSATION,2898
Give me a quiz on Organic Chemistry,ASSESSMENT,ASSESSMENT,5190
How am I doing in Genetics?,INSIGHT,INSIGHT,4546
Let me think,CONVERSATION,CONVERSATION,3160
Suggest a video on Compiler Design,VIDEO_SEARCH,VIDEO_SEARCH,2961
Link a video on Network Security,VIDEO_SEARCH,VIDEO_SEARCH,2411
Why should I study?,CONVERSATION,CONVERSATION,3011
I want to watch a video on Linear Algebra,VIDEO_SEARCH,VIDEO_SEARCH,1895
Hiya,CONVERSATION,CONVERSATION,937
I'm ready for a test on Cognitive Science,ASSESSMENT,ASSESSMENT,4846
I want a video on Algorithms,VIDEO_SEARCH,VIDEO_SEARCH,1862
Test me on Algorithms,ASSESSMENT,ASSESSMENT,8378
What does the document say about World History?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3928
Hey there,CONVERSATION,CONVERSATION,981
How does this system work?,CONVERSATION,CONVERSATION,5037
Where do I stand in Data Structures?,INSIGHT,INSIGHT,4761
Are you a bot?,CONVERSATION,CONVERSATION,2118
Give me a summary of the notes,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3305
Does the file mention Database Systems?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2929
Explain the results in the document,CONTENT_ANALYSIS,CONTENT_ANALYSIS,4851
I want a video on Cell Biology,VIDEO_SEARCH,VIDEO_SEARCH,2050
Am I good at Machine Learning?,INSIGHT,INSIGHT,5237
What does the notes say about Database Systems?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3089
Am I good at World History?,INSIGHT,INSIGHT,5189
Suggest a video for Database Systems,VIDEO_SEARCH,VIDEO_SEARCH,2622
Check if I understood Software Engineering,ASSESSMENT,INSIGHT,5556
Find some videos for Big Data,VIDEO_SEARCH,VIDEO_SEARCH,2060
Do you have a video about Machine Learning?,VIDEO_SEARCH,VIDEO_SEARCH,2432
Who are you?,CONVERSATION,CONVERSATION,2797
Can you think?,CONVERSATION,CONVERSATION,2461
Summarize the text,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2946
Start a quiz on Astrophysics,ASSESSMENT,ASSESSMENT,4803
Am I improving?,INSIGHT,INSIGHT,5046
Ask me 5 questions on Microeconomics,ASSESSMENT,ASSESSMENT,5001
Nice one,CONVERSATION,CONVERSATION,2497
I like this,CONVERSATION,CONVERSATION,3049
Do you have a video about Genetics?,VIDEO_SEARCH,VIDEO_SEARCH,2485
What does the PDF cover?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2910
What's my progress so far?,INSIGHT,INSIGHT,4886
Does the paper mention Microeconomics?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2950
I'm bored,CONVERSATION,CONVERSATION,2339
That's it,CONVERSATION,CONVERSATION,2607
I want a video on Thermodynamics,VIDEO_SEARCH,VIDEO_SEARCH,2631
Where do I stand in Psychology?,INSIGHT,INSIGHT,4698
Can you walk me through the PDF?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2687
Summarize this file,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3283
Does the file mention Linear Algebra?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2899
Look for educational videos about Network Security,VIDEO_SEARCH,VIDEO_SEARCH,2539
Where do I stand in Cyber Security?,INSIGHT,INSIGHT,6388
Let's go,CONVERSATION,CONVERSATION,4003
Thanks,CONVERSATION,CONVERSATION,2861
Examine me on Microeconomics,ASSESSMENT,ASSESSMENT,5277
I don't know what to do,CONVERSATION,CONVERSATION,3552
How am I doing in Fluid Dynamics?,INSIGHT,INSIGHT,5522
Link a video on Ethics,VIDEO_SEARCH,VIDEO_SEARCH,2029
What is the main point of the file?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3108
Are there gaps in my Computer Architecture knowledge?,INSIGHT,INSIGHT,4929
Assess my understanding of Cyber Security,ASSESSMENT,ASSESSMENT,9340
Find a video on Ethics,VIDEO_SEARCH,VIDEO_SEARCH,2486
I'm ready for a test on Compiler Design,ASSESSMENT,ASSESSMENT,4841
Are there gaps in my Compiler Design knowledge?,INSIGHT,INSIGHT,4812
Find a video about Ethics,VIDEO_SEARCH,VIDEO_SEARCH,2350
Look for educational videos about Human Anatomy,VIDEO_SEARCH,VIDEO_SEARCH,2161
Create an assessment for Ethics,ASSESSMENT,ASSESSMENT,9356
Good evening,CONVERSATION,CONVERSATION,802
Get me a video tutorial on Molecular Biology,VIDEO_SEARCH,VIDEO_SEARCH,2123
I need an analysis of the text,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3974
Summarize my milestones,INSIGHT,CONTENT_ANALYSIS,3844
Give me a summary of the material,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3181
Examine me on Computer Architecture,ASSESSMENT,VIDEO_SEARCH,2046
What does the handout say about Calculus?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2829
Explain the findings in the section,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3781
Evaluate my understanding of Data Structures,ASSESSMENT,INSIGHT,6304
Find a lecture video on Ethics,VIDEO_SEARCH,VIDEO_SEARCH,2440
Let's take a quiz on World History,ASSESSMENT,ASSESSMENT,5086
A tutorial video about Computer Networks,VIDEO_SEARCH,VIDEO_SEARCH,2942
Does the paper mention Software Engineering?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2603
Can you help me with anything?,CONVERSATION,CONVERSATION,3363
Give me a summary of the PDF,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3568
Are there gaps in my Cyber Security knowledge?,INSIGHT,INSIGHT,5063
Howdy,CONVERSATION,CONVERSATION,2855
What does the chapter say about Cell Biology?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3512
I didn't get that,CONVERSATION,CONTENT_ANALYSIS,5590
Are there gaps in my World History knowledge?,INSIGHT,INSIGHT,4287
Explain the findings in the document,CONTENT_ANALYSIS,CONTENT_ANALYSIS,4937
What does the PDF say about Linear Algebra?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3411
Suggest a video on Thermodynamics,VIDEO_SEARCH,VIDEO_SEARCH,2713
A tutorial video about Software Engineering,VIDEO_SEARCH,VIDEO_SEARCH,2796
I need learning insights,INSIGHT,INSIGHT,3921
Show a video demo of Genetics,VIDEO_SEARCH,VIDEO_SEARCH,2174
Does the text mention Quantum Physics?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2441
Give me 10 questions on Organic Chemistry,ASSESSMENT,ASSESSMENT,13860
What does the section say about Microeconomics?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3541
What does the article say about Database Systems?,CONTENT_ANALYSIS,VIDEO_SEARCH,2679
Test my knowledge of Calculus,ASSESSMENT,ASSESSMENT,7897
Am I good at Operating Systems?,INSIGHT,INSIGHT,4609
Right,CONVERSATION,CONVERSATION,3268
Analyze the uploaded notes,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3716
Does the slide mention Database Systems?,CONTENT_ANALYSIS,VIDEO_SEARCH,1840
Give me a quiz on Microeconomics,ASSESSMENT,ASSESSMENT,5593
Am I good at Game Theory?,INSIGHT,INSIGHT,4762
What does the article say about Linear Algebra?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3406
Summarize the slide in three bullet points,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2762
Generate a quiz about Big Data,ASSESSMENT,ASSESSMENT,5980
What do I review next?,INSIGHT,INSIGHT,3604
Test me on Ethics,ASSESSMENT,ASSESSMENT,8171
I want to be tested on Machine Learning,ASSESSMENT,ASSESSMENT,4305
Do you watch movies?,CONVERSATION,CONVERSATION,3085
Any clips on Statistics?,VIDEO_SEARCH,VIDEO_SEARCH,2003
Is there a clip on World History?,VIDEO_SEARCH,VIDEO_SEARCH,2371
I need a learning plan,INSIGHT,INSIGHT,3986
Extract the main ideas from the chapter,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3834
How big is the sun?,CONVERSATION,CONTENT_ANALYSIS,2180
Definitely,CONVERSATION,CONTENT_ANALYSIS,2548
Does the handout mention World History?,CONTENT_ANALYSIS,CONVERSATION,2743
Does the section mention Machine Learning?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3331
What day is it today?,CONVERSATION,CONVERSATION,3052
Am I good at Thermodynamics?,INSIGHT,INSIGHT,5037
I want a test on Compiler Design,ASSESSMENT,ASSESSMENT,5053
Does the file mention Quantum Physics?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3430
Look for educational videos on Quantum Physics,VIDEO_SEARCH,VIDEO_SEARCH,2231
Test me on Compiler Design,ASSESSMENT,ASSESSMENT,4587
What does the paper say about Machine Learning?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3181
How far along am I?,INSIGHT,INSIGHT,4984
Assess my understanding of Discrete Math,ASSESSMENT,ASSESSMENT,5791
Am I good at Cyber Security?,INSIGHT,INSIGHT,5213
Is there a clip on Fluid Dynamics?,VIDEO_SEARCH,VIDEO_SEARCH,2061
Explain the second section of the handout,CONTENT_ANALYSIS,CONTENT_ANALYSIS,5512
Test my knowledge of Cognitive Science,ASSESSMENT,ASSESSMENT,8405
Check if I understood Game Theory,ASSESSMENT,ASSESSMENT,5791
Find a video on World History,VIDEO_SEARCH,VIDEO_SEARCH,2283
Search for tutorials about Macroeconomics,VIDEO_SEARCH,VIDEO_SEARCH,2444
Test my knowledge of Psychology,ASSESSMENT,ASSESSMENT,8753
Evaluate my understanding of Linear Algebra,ASSESSMENT,ASSESSMENT,6186
What does the text say about Database Systems?,CONTENT_ANALYSIS,VIDEO_SEARCH,2394
Sounds good,CONVERSATION,CONVERSATION,3466
Find a video about Statistics,VIDEO_SEARCH,VIDEO_SEARCH,3829
How am I doing in Game Theory?,INSIGHT,INSIGHT,5366
Search for a clip about Compiler Design,VIDEO_SEARCH,VIDEO_SEARCH,2170
Show me a YouTube video about Cyber Security,VIDEO_SEARCH,VIDEO_SEARCH,2512
Explain the second page of the slide,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3871
Explain the findings in the notes,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3910
Link a video on Psychology,VIDEO_SEARCH,VIDEO_SEARCH,1955
Nice,CONVERSATION,CONVERSATION,2497
What is discussed in the section?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3260
I want to talk,CONVERSATION,CONVERSATION,1976
I'll be right back,CONVERSATION,CONVERSATION,1844
Are you my tutor?,CONVERSATION,CONVERSATION,2792
I just joined,CONVERSATION,CONVERSATION,2196
Show a video demo of Cell Biology,VIDEO_SEARCH,VIDEO_SEARCH,2284
Search for a clip about Big Data,VIDEO_SEARCH,VIDEO_SEARCH,2214
Suggest a video for Microeconomics,VIDEO_SEARCH,VIDEO_SEARCH,2560
Assess me on Software Engineering,ASSESSMENT,ASSESSMENT,9800
What does the slide say about Discrete Math?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3127
Find a lecture video on Thermodynamics,VIDEO_SEARCH,VIDEO_SEARCH,2639
Does the chapter mention Quantum Physics?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2579
Tell me a story,CONVERSATION,CONVERSATION,2819
Make me a quiz on Linear Algebra,ASSESSMENT,ASSESSMENT,9164
Suggest a video for Computer Architecture,VIDEO_SEARCH,VIDEO_SEARCH,2547
Create an assessment for Game Theory,ASSESSMENT,ASSESSMENT,10153
Are there gaps in my Genetics knowledge?,INSIGHT,INSIGHT,4987
I want a video on Computer Architecture,VIDEO_SEARCH,VIDEO_SEARCH,2256
Can I have a practice test for Computer Architecture?,ASSESSMENT,VIDEO_SEARCH,1926
Great to be here,CONVERSATION,CONVERSATION,2979
Let's do a quiz on Operating Systems,ASSESSMENT,ASSESSMENT,8923
Assess my understanding of Statistics,ASSESSMENT,ASSESSMENT,6618
How am I doing in Cyber Security?,INSIGHT,INSIGHT,5638
Show a video demo of Molecular Biology,VIDEO_SEARCH,VIDEO_SEARCH,2508
Ignore that,CONVERSATION,CONVERSATION,3284
Talk later,CONVERSATION,CONVERSATION,1882
Question me on Organic Chemistry,ASSESSMENT,ASSESSMENT,7893
Any clips on Linear Programming?,VIDEO_SEARCH,VIDEO_SEARCH,1767
Where do I stand in Compiler Design?,INSIGHT,INSIGHT,4775
How am I doing in Cognitive Science?,INSIGHT,INSIGHT,5122
Am I good at Sociology?,INSIGHT,CONVERSATION,4336
Break down the key concepts in the paper,CONTENT_ANALYSIS,CONTENT_ANALYSIS,4228
I'm ready for a test on Cyber Security,ASSESSMENT,ASSESSMENT,4684
What should I revise?,INSIGHT,INSIGHT,3915
Am I good at Genetics?,INSIGHT,INSIGHT,5324
What does the section say about Software Engineering?,CONTENT_ANALYSIS,VIDEO_SEARCH,2173
Bye,CONVERSATION,CONVERSATION,2466
Show my achievements,INSIGHT,INSIGHT,5019
How am I doing in Machine Learning?,INSIGHT,INSIGHT,5380
What does the report say about Machine Learning?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,4778
Does the material mention Cell Biology?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2887
What's up,CONVERSATION,CONVERSATION,3206
Recommend what to study,INSIGHT,INSIGHT,4874
Assess my understanding of Big Data,ASSESSMENT,ASSESSMENT,9101
What does the document say about Software Engineering?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3997
Ask me some questions on World History,ASSESSMENT,ASSESSMENT,4725
What does the material say about Cell Biology?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3980
Summarize the document,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3824
Give me a quiz on Big Data,ASSESSMENT,ASSESSMENT,4848
What does the chapter say about Quantum Physics?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,4572
Good night,CONVERSATION,CONVERSATION,2620
Tell me more about the content in the section,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3414
Search for tutorials about Algorithms,VIDEO_SEARCH,VIDEO_SEARCH,2695
Test my knowledge of Ethics,ASSESSMENT,ASSESSMENT,8782
Compare this with the last chapter,CONTENT_ANALYSIS,CONTENT_ANALYSIS,4295
Start a quiz on Artificial Intelligence,ASSESSMENT,ASSESSMENT,5432
Assess me on Fluid Dynamics,ASSESSMENT,ASSESSMENT,5496
I need an analysis of the chapter,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3622
Are the findings consistent?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3528
Look for educational videos about Compiler Design,VIDEO_SEARCH,VIDEO_SEARCH,2392
Summarize the chapter,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2997
Examine me on Classical Mechanics,ASSESSMENT,ASSESSMENT,9561
Question me on Cell Biology,ASSESSMENT,ASSESSMENT,8025
Show me a YouTube video on Calculus,VIDEO_SEARCH,VIDEO_SEARCH,2410
I'm stuck,CONVERSATION,CONTENT_ANALYSIS,2311
