message,truth,predicted,latency_ms
Can you find a video on software engineering design patterns?,VIDEO_SEARCH,VIDEO_SEARCH,2052
Show me a good lecture about computer architecture.,VIDEO_SEARCH,VIDEO_SEARCH,2982
Find a video explaining how APIs work.,VIDEO_SEARCH,VIDEO_SEARCH,2043
I want to watch a tutorial on recursion and backtracking.,VIDEO_SEARCH,VIDEO_SEARCH,1824
Search for a video about linear regression.,VIDEO_SEARCH,VIDEO_SEARCH,1955
Can you find an educational video on chemical bonding?,VIDEO_SEARCH,VIDEO_SEARCH,1894
Show me a YouTube lesson about data structures.,VIDEO_SEARCH,VIDEO_SEARCH,2108
Find a video explaining how RAG works.,VIDEO_SEARCH,VIDEO_SEARCH,2139
Summarize the PDF I uploaded.,CONTENT_ANALYSIS,CONTENT_ANALYSIS,4529
Can you explain the main idea of this document?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2731
What are the key points in these lecture notes?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3470
Break down this chapter into simple terms.,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3763
Review my uploaded study material and explain it.,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3264
What does this paragraph mean?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2181
Summarize the important concepts from this chapter.,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3111
Can you analyze these notes for me?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2895
Explain the difference between the concepts in this document.,CONTENT_ANALYSIS,CONTENT_ANALYSIS,4465
Give me a concise summary of this lecture.,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2908
Can you explain this topic based on my uploaded material?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2224
What are the most important ideas in this PDF?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3016
Simplify this section so I can understand it.,CONTENT_ANALYSIS,CONTENT_ANALYSIS,4538
Review this document and point out the major concepts.,CONTENT_ANALYSIS,CONTENT_ANALYSIS,4232
Can you extract the important information from these notes?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2663
Explain the uploaded material step by step.,CONTENT_ANALYSIS,CONTENT_ANALYSIS,4245
Summarize this article for revision.,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3183
What does the uploaded chapter say about neural networks?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2741
Analyze this study material and identify its main themes.,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3611
Can you give me an overview of this document?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3063
Explain the difficult parts of these lecture slides.,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2895
What should I focus on in this uploaded chapter?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3056
Can you compare the two approaches described in this PDF?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2541
Summarize the section about database normalization.,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2857
Explain the example given in my notes.,CONTENT_ANALYSIS,CONTENT_ANALYSIS,4076
Can you review my lecture material for important definitions?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3389
What conclusions does this document reach?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3751
Help me understand the content of this uploaded file.,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3785
Can you identify the key terms in this chapter?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3079
Give me a simplified explanation of these notes.,CONTENT_ANALYSIS,CONTENT_ANALYSIS,4954
Analyze the uploaded material and organize the concepts.,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3536
What is this document mainly about?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3112
Can you explain the diagram described in the study material?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2796
Summarize this content without leaving out the important details.,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3475
Review this chapter and highlight confusing concepts.,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3260
Can you explain this passage using the context of the uploaded document?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,2556
What are the main arguments in these notes?,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3669
Turn this lecture content into an easy-to-understand explanation.,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3063
Can you analyze this document and tell me what I need to learn?,CONTENT_ANALYSIS,INSIGHT,5255
Give me a revision-friendly summary of the uploaded material.,CONTENT_ANALYSIS,CONTENT_ANALYSIS,3519
Give me a quiz on Python basics.,ASSESSMENT,ASSESSMENT,5346
Test me on SQL joins.,ASSESSMENT,ASSESSMENT,8400
Create five practice questions on recursion.,ASSESSMENT,ASSESSMENT,5057
Can you make a test from the uploaded chapter?,ASSESSMENT,ASSESSMENT,8265
Quiz me on the material I just studied.,ASSESSMENT,ASSESSMENT,10597
Give me some multiple-choice questions on machine learning.,ASSESSMENT,ASSESSMENT,5409
Create a short assessment on database normalization.,ASSESSMENT,ASSESSMENT,5540
Can you test my understanding of neural networks?,ASSESSMENT,ASSESSMENT,5099
Make me a practice test on operating systems.,ASSESSMENT,ASSESSMENT,7167
Ask me questions about the uploaded PDF.,ASSESSMENT,CONTENT_ANALYSIS,2798
Give me ten questions on computer networks.,ASSESSMENT,VIDEO_SEARCH,2826
Can you generate a quiz from these lecture notes?,ASSESSMENT,ASSESSMENT,8321
Test me on calculus derivatives.,ASSESSMENT,ASSESSMENT,4754
Create practice problems for probability.,ASSESSMENT,VIDEO_SEARCH,2105
Give me an assessment on object-oriented programming.,ASSESSMENT,ASSESSMENT,5752
Can you make a beginner quiz on Java?,ASSESSMENT,ASSESSMENT,5184
Ask me five questions about SQL.,ASSESSMENT,ASSESSMENT,4723
Create an exam-style test from this chapter.,ASSESSMENT,ASSESSMENT,7109
Can you evaluate my understanding of binary search?,ASSESSMENT,ASSESSMENT,9055
Give me practice questions on data structures.,ASSESSMENT,VIDEO_SEARCH,2536
Quiz me on the concepts in my study material.,ASSESSMENT,ASSESSMENT,4700
Make a short test on software engineering.,ASSESSMENT,ASSESSMENT,8870
Can you generate questions based on this document?,ASSESSMENT,CONTENT_ANALYSIS,4041
Test me on Python classes and inheritance.,ASSESSMENT,ASSESSMENT,4845
Give me some MCQs on computer architecture.,ASSESSMENT,VIDEO_SEARCH,2447
Create a practice assessment for my upcoming exam.,ASSESSMENT,ASSESSMENT,5561
Ask me questions one at a time about this topic.,ASSESSMENT,CONVERSATION,2074
Can you give me a mock test on machine learning?,ASSESSMENT,ASSESSMENT,8823
Generate ten questions from the uploaded notes.,ASSESSMENT,CONTENT_ANALYSIS,5032
Test whether I understand database transactions.,ASSESSMENT,ASSESSMENT,5144
Make me a quiz on probability distributions.,ASSESSMENT,ASSESSMENT,4991
Give me some practice questions on REST APIs.,ASSESSMENT,ASSESSMENT,5722
Can you assess my knowledge of operating system processes?,ASSESSMENT,ASSESSMENT,7747
Create a quiz that gets harder as I answer.,ASSESSMENT,ASSESSMENT,6038
Give me an exam-style assessment on the uploaded material.,ASSESSMENT,ASSESSMENT,6314
Test my knowledge of electromagnetic induction.,ASSESSMENT,ASSESSMENT,5013
Can you create true-or-false questions about this chapter?,ASSESSMENT,CONTENT_ANALYSIS,2986
Give me practice problems on dynamic programming.,ASSESSMENT,ASSESSMENT,6963
Can you evaluate what I learned from this lecture?,ASSESSMENT,INSIGHT,4728
Create a quick revision quiz for me.,ASSESSMENT,ASSESSMENT,6448
How am I doing in my studies?,INSIGHT,INSIGHT,5252
Can you show me my learning progress?,INSIGHT,INSIGHT,3611
What topics am I struggling with?,INSIGHT,INSIGHT,2927
Which subjects should I focus on next?,INSIGHT,INSIGHT,6171
Can you analyze my recent performance?,INSIGHT,INSIGHT,4328
What are my biggest knowledge gaps?,INSIGHT,INSIGHT,5047
Am I improving compared with my previous sessions?,INSIGHT,INSIGHT,4473
Give me a report on my learning progress.,INSIGHT,INSIGHT,5769
What do my study patterns suggest?,INSIGHT,INSIGHT,4905
Can you recommend what I should study next?,INSIGHT,INSIGHT,5226
Which areas need more revision?,INSIGHT,INSIGHT,3498
How consistent has my learning been?,INSIGHT,INSIGHT,5059
What are my strengths and weaknesses as a learner?,INSIGHT,INSIGHT,4318
Can you give me personalized study recommendations?,INSIGHT,INSIGHT,5892
"Based on my progress, what should I work on?",INSIGHT,INSIGHT,5252
Have I improved in SQL recently?,INSIGHT,INSIGHT,4473
What concepts do I seem to have trouble with?,INSIGHT,INSIGHT,4751
Can you analyze my performance across topics?,INSIGHT,INSIGHT,5383
Give me insights into my learning habits.,INSIGHT,INSIGHT,3805
Which topic should I revise before moving on?,INSIGHT,INSIGHT,3716
Can you identify gaps in my understanding from my history?,INSIGHT,INSIGHT,5313
How well am I progressing toward my learning goals?,INSIGHT,INSIGHT,4994
What should I prioritize this week based on my performance?,INSIGHT,INSIGHT,5511
Can you generate a progress report for me?,INSIGHT,INSIGHT,3823
Which subjects am I strongest in?,INSIGHT,INSIGHT,5062
Where am I losing marks most often?,INSIGHT,INSIGHT,5159
What patterns do you see in my assessment results?,INSIGHT,INSIGHT,4151
Can you recommend a personalized learning path?,INSIGHT,INSIGHT,6129
How has my performance changed over time?,INSIGHT,INSIGHT,4492
Which concepts should I revisit based on my previous attempts?,INSIGHT,INSIGHT,5445
Can you tell me whether my study routine is working?,INSIGHT,INSIGHT,4836
What are my current learning gaps?,INSIGHT,INSIGHT,4905
Give me feedback based on my past activity.,INSIGHT,INSIGHT,5332
What should I improve to perform better?,INSIGHT,INSIGHT,5813
Can you identify the areas where I need extra practice?,INSIGHT,INSIGHT,5803
How effective has my recent study activity been?,INSIGHT,INSIGHT,4592
What learning recommendations do you have for me?,INSIGHT,INSIGHT,4728
Can you compare my current progress with my earlier progress?,INSIGHT,INSIGHT,4600
Which topics are becoming stronger for me?,INSIGHT,INSIGHT,4898
Give me an overview of my academic progress.,INSIGHT,INSIGHT,4831
Hi,CONVERSATION,CONVERSATION,15
Hello,CONVERSATION,CONVERSATION,12
yo,CONVERSATION,CONVERSATION,11
sup,CONVERSATION,CONVERSATION,10
Good morning,CONVERSATION,CONVERSATION,10
Explain what YouTube is,CONVERSATION,VIDEO_SEARCH,2448
Explain video games,CONVERSATION,CONVERSATION,3792
What is a video codec?,CONVERSATION,VIDEO_SEARCH,2413
Can I get a PDF of the syllabus?,CONVERSATION,CONVERSATION,3898
Tell me about youtube ads,CONVERSATION,VIDEO_SEARCH,2365
https://www.youtube.com/watch?v=dQw4w9WgXcQ,VIDEO_SEARCH,VIDEO_SEARCH,2873
https://youtu.be/dQw4w9WgXcQ,VIDEO_SEARCH,VIDEO_SEARCH,2783
www.youtube.com/watch?v=abc123,VIDEO_SEARCH,VIDEO_SEARCH,2606
https://m.youtube.com/watch?v=xyz789,VIDEO_SEARCH,VIDEO_SEARCH,4197
http://youtube.com/watch?v=test123,VIDEO_SEARCH,VIDEO_SEARCH,4553
Check this out https://youtu.be/aircAruvnKk,VIDEO_SEARCH,VIDEO_SEARCH,2897
My teacher shared this https://www.youtube.com/watch?v=oopp123 what is it about,VIDEO_SEARCH,VIDEO_SEARCH,2207
https://youtu.be/9bZkp7q19f0,VIDEO_SEARCH,VIDEO_SEARCH,2891
